collision_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,casualty_type
2024471483499,1,1,1,1,54,8,3,9
2024481507980,1,1,1,1,23,5,2,9
2020010283761,4,3,1,1,29,6,3,9
2020140922155,2,1,1,2,31,6,3,9
2020460930851,1,4,2,1,7,2,3,9
2020541351220,1,1,1,1,34,6,3,9
202063D005020,1,1,1,2,24,5,3,9
2021052102792,2,1,1,1,50,8,3,9
2021461012195,2,1,1,2,38,7,3,9
2022170H11002,1,1,1,2,27,6,3,9
2023221312834,1,1,1,2,40,7,3,9
2023231277563,2,3,2,2,64,9,3,9
2023430287492,2,2,1,1,49,8,3,9
2023461326163,2,2,2,1,17,4,3,9
2020010252391,1,1,3,1,6,2,3,0
2022302201566,1,1,3,2,64,9,2,0
2024451492829,2,1,1,1,19,4,2,1
2023010478442,1,1,1,1,36,7,3,3
2022440057611,1,1,1,1,34,6,3,5
2020010283299,2,1,1,1,46,8,3,9
2020052001954,2,1,1,1,70,10,3,9
2020201006962,2,1,1,2,35,6,3,9
2021991050438,2,1,1,1,33,6,3,9
2021991102412,2,1,1,1,65,9,3,9
2022010410607,1,1,1,2,40,7,3,9
2022332200416,1,1,1,2,63,9,3,9
